K099,A,3-a,1-b,2-h,2-wh,,,,,,,,
K100,C, , , ,8-wh,,,,,,,,
K101,B,5-a, ,1-h,2-wh,,,,,,,,
K102,B,1-a, ,2-h,6-wh,,,,,,,,
K103,D, ,7-b,1-h, ,,,,,,,,
K104,B,1-a, ,2-h,5-wh,,,,,,,,
K105,A,9-a, , , ,,,,,,,,
K106,C, ,1-b,7-h, ,,,,,,,,
K107,B, , ,1-h,7-wh,,,,,,,,
K108,B, ,2-b,6-h, ,,,,,,,,
K109,C, ,7-b,2-h, ,,,,,,,,
K110,C, , ,3-h,5-wh,,,,,,,,
K112,A,4-a, ,2-h,2-wh,,,,,,,,
K113,D, ,7-b,1-h, ,,,,,,,,
K114,C, ,8-b, , ,,,,,,,,
K115,B, ,8-b, , ,,,,,,,,
K116,A, , ,9-h, ,,,,,,,,
K119,B,1-a,7-b,1-h, ,,,,,,,,
K120,A, ,1-b,8-h, ,,,,,,,,
K121,A,1-a, ,4-h,3-wh,,,,,,,,
K123,B, , ,8-h, ,,,,,,,,
K124,B,1-a,1-b,5-h,1-wh,,,,,,,,
K126,D, ,2-b,6-h, ,,,,,,,,
K127,B,1-a, ,2-h,6-wh,,,,,,,,
K128,B,2-a, ,2-h,4-wh,,,,,,,,
K130,A,2-a,1-b,3-h,2-wh,,,,,,,,
K131,A,3-a, ,5-h, ,,,,,,,,
K132,C, ,1-b,4-h,3-wh,,,,,,,,
K133,B, ,3-b,4-h,1-wh,,,,,,,,
K134,A,2-a,2-b,2-h,2-wh,,,,,,,,
K135,B, ,9-b, , ,,,,,,,,
K136,B, , ,8-h, ,,,,,,,,
K137,C, ,7-b,1-h, ,,,,,,,,
K138,B, ,8-b, , ,,,,,,,,
K139,B,1-a,3-b,3-h,1-wh,,,,,,,,
K145,C, , ,9-h, ,,,,,,,,
K146,A, ,3-b,2-h,3-wh,,,,,,,,
K147,B, ,3-b,5-h, ,,,,,,,,
K149,C, ,6-b,3-h, ,,,,,,,,
K150,C, ,6-b,3-h, ,,,,,,,,
K151,D, ,2-b,7-h, ,,,,,,,,
K152,B, ,6-b,1-h, ,,,,,,,,
K153,C,3-a, ,2-h,3-wh,,,,,,,,
K154,A, , ,2-h,5-wh,,,,,,,,
K155,A, ,5-b,3-h, ,,,,,,,,
K156,C, ,8-b,1-h, ,,,,,,,,
K157,B, ,1-b,8-h, ,,,,,,,,
K158,B, ,5-b,3-h, ,,,,,,,,
K159,B,3-a,4-b,2-h, ,,,,,,,,
K160,C,7-a, ,1-h, ,,,,,,,,
K161,D, ,7-b,1-h, ,,,,,,,,
K162,C, , ,8-h, ,,,,,,,,
K163,A,3-a, ,2-h,3-wh,,,,,,,,
K164,A,2-a, ,5-h,1-wh,,,,,,,,
K165,C, ,8-b, , ,,,,,,,,
K166,C, ,7-b,2-h, ,,,,,,,,
K167,C, ,8-b,1-h, ,,,,,,,,
K169,C,4-a, ,4-h, ,,,,,,,,
K170,B,3-a, ,2-h,3-wh,,,,,,,,
K171,F, ,1-b,7-h, ,,,,,,,,
K172,A, , ,8-h,1-wh,,,,,,,,
K174,C, ,6-b,3-h, ,,,,,,,,
K176,A,5-a, ,1-h,2-wh,,,,,,,,
K177,B,2-a, ,2-h,4-wh,,,,,,,,
K178,C, ,7-b,1-h, ,,,,,,,,
K179,C,4-a, ,3-h,1-wh,,,,,,,,
K180,B,3-a, ,1-h,4-wh,,,,,,,,
K181,B, ,8-b,1-h, ,,,,,,,,
K184,B, ,7-b,2-h, ,,,,,,,,
K185,C, , ,1-h,7-wh,,,,,,,,
K186,B,3-a, ,2-h,3-wh,,,,,,,,
K187,A,6-a, , ,2-wh,,,,,,,,
K188,A, ,4-b,3-h,1-wh,,,,,,,,
K189,A, ,7-b,2-h, ,,,,,,,,
K190,B, ,7-b,2-h, ,,,,,,,,
K191,B, ,8-b,1-h, ,,,,,,,,
K192,A,1-a, ,4-h,3-wh,,,,,,,,
K193,C,1-a,5-b,1-h,1-wh,,,,,,,,
K194,C,1-a,4-b,2-h,1-wh,,,,,,,,
K195,B, , , ,9-wh,,,,,,,,
K196,C, ,1-b,8-h, ,,,,,,,,
K197,B, ,2-b,2-h,4-wh,,,,,,,,
K198,B, ,8-b, , ,,,,,,,,
K199,B,3-a, ,2-h,4-wh,,,,,,,,
K200,A,3-a, ,1-h,4-wh,,,,,,,,
K201,A,4-a, ,1-h,3-wh,,,,,,,,
K202,D, ,6-b,3-h, ,,,,,,,,
K203,B, ,8-b, , ,,,,,,,,
K204,B,4-a, ,1-h,4-wh,,,,,,,,
K205,A,4-a, ,2-h,2-wh,,,,,,,,
K206,C,4-a, , ,3-wh,,,,,,,,
K207,B, ,3-b,1-h,4-wh,,,,,,,,
K208,B, ,8-b, , ,,,,,,,,
K209,B,2-a, ,2-h,4-wh,,,,,,,,
K211,A, ,8-b, , ,,,,,,,,
K212,B,2-a,2-b,2-h,2-wh,,,,,,,,
K213,D, ,8-b,1-h, ,,,,,,,,
K214,B,4-a,1-b,3-h, ,,,,,,,,
K215,A,2-a, ,2-h,4-wh,,,,,,,,
K216,C,2-a, ,1-h,5-wh,,,,,,,,
K217,B,5-a,1-b,1-h,1-wh,,,,,,,,
K218,B,1-a,4-b,3-h, ,,,,,,,,
K219,B, ,9-b, , ,,,,,,,,
K220,C,5-a, ,4-h, ,,,,,,,,
K221,A, ,8-b, , ,,,,,,,,
K222,B,1-a,1-b,1-h,4-wh,,,,,,,,
K223,A,4-a,1-b,3-h,1-wh,,,,,,,,
K224,C, ,7-b,2-h, ,,,,,,,,
K225,B,1-a, ,3-h,4-wh,,,,,,,,
K226,B,2-a, ,2-h,4-wh,,,,,,,,
K227,A,5-a, ,2-h,1-wh,,,,,,,,
K228,C,3-a, ,2-h,2-wh,,,,,,,,
K229,B,4-a, ,1-h,4-wh,,,,,,,,
K230,C,4-a, ,3-h,2-wh,,,,,,,,
K233,C, ,9-b, , ,,,,,,,,
K234,B,2-a,1-b,1-h,3-wh,,,,,,,,
K235,A, ,9-b, , ,,,,,,,,
K236,C, ,2-b, ,5-wh,,,,,,,,
K238,B,1-a, ,5-h,2-wh,,,,,,,,
K239,A,3-a,1-b, ,5-wh,,,,,,,,
K240,C,1-a,6-b,1-h, ,,,,,,,,
K241,A, ,8-b, , ,,,,,,,,
K243,C, ,7-b,1-h, ,,,,,,,,
K244,A, ,9-b, , ,,,,,,,,
K245,B, ,6-b,3-h, ,,,,,,,,
K246,B, ,8-b,1-h, ,,,,,,,,
K247,A,4-a, ,1-h,3-wh,,,,,,,,
K250,B,1-a, ,7-h, ,,,,,,,,
K251,B, ,8-b,1-h, ,,,,,,,,
K253,A,3-a, ,4-h,1-wh,,,,,,,,
K254,A,3-a, ,1-h,4-wh,,,,,,,,
K255,A,2-a, ,1-h,5-wh,,,,,,,,
K256,F, ,7-b,2-h, ,,,,,,,,
K257,A, ,2-b,7-h, ,,,,,,,,
K259,A,4-a, ,2-h,2-wh,,,,,,,,
K260,None, ,7-b,2-h, ,,,,,,,,
K261,C, ,2-b,2-h,3-wh,,,,,,,,
K262,A, ,8-b,1-h, ,,,,,,,,
K265,B, ,7-b,2-h, ,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,7-r,6-m,7-w,,,,
K266,C, ,7-b,2-h, ,,,,,,,,
K267,A, ,7-b,1-h, ,,,,,,,,
K268,B, ,9-b, , ,,,,,,,,
K269,C, ,9-b, , ,,,,,,,,
K270,C, ,7-b,2-h, ,,,,,,,,
K272,F, ,7-b,1-h, ,,,,,,,,
K273,C, ,8-b,1-h, ,,,,,,,,
K274,C, ,1-b,7-h, ,,,,,,,,
K276,B, ,9-b, , ,,,,,,,,
K277,C, , ,1-h,7-wh,,,,,,,,
