'Q580', 'B', '3-a', '2-h', '3-wh', 'BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION', '1', '11-m', '1'
'Q680', 'C', '3-a', '4-b', '1-h', 'QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL', '1', '1', '1'
'Q896', 'C', '2-a', '5-b', '1-h', "YOUNG WOMEN'S LEADERSHIP SCHOOL  QUEENS", '8-r', '8-m', '8-w'
'R080', 'C', '1-b', '1-h', '5-wh', 'THE MICHAEL J. PETRIDES SCHOOL', '9-r', '9-m', '9-w'
'X141', 'C', '1-b', '5-h', '2-wh', 'RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)', '8-r', '9-m', '8-w'
'X221', 'C', '2-b', '6-h', 'SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL', '7-r', '7-m', '6-w'
'X225', 'C', '2-b', '6-h', 'THEATRE ARTS PRODUCTION COMPANY SCHOOL', '8-r', '7-m', '7-w'
'X237', 'None', '3-b', '5-h', 'THE MARIE CURIE SCHOOL FOR MEDICINE  NURSING  AND HEALTH PROFESSIONS', '7-r', '7-m', '7-w'
'X245', 'None', '4-b', '5-h', 'NEW DAY ACADEMY', '6-r', '6-m', '7-w'
'X250', 'None', '4-b', '5-h', 'EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL', '7-r', '7-m', '7-w'
'X241', 'B', '3-b', '6-h', 'URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE  THE', '8-r', '9-m', '8-w'
'X243', 'C', '2-b', '6-h', 'WEST BRONX ACADEMY FOR THE FUTURE', '7-r', '8-m', '7-w'
'X267', 'A', '2-b', '7-h', 'BRONX LATIN', '8-r', '8-m', '8-w'
'X270', 'D', '6-b', '3-h', 'ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL', '7-r', '7-m', '7-w'
'X271', 'C', '2-b', '6-h', 'EAST BRONX ACADEMY FOR THE FUTURE', '7-r', '7-m', '7-w'
'X282', 'None', '4-b', '4-h', "WOMEN'S ACADEMY OF EXCELLENCE", '8-r', '7-m', '7-w'
'X368', 'B', '1-b', '8-h', 'INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)', '7-r', '8-m', '7-w'
'X413', 'B', '3-b', '5-h', 'BRONX HIGH SCHOOL FOR MEDICAL SCIENCE', '8-r', '8-m', '8-w'
'X517', 'None', '5-b', '4-h', 'FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL', '7-r', '7-m', '7-w'
'X500', 'C', '2-b', '7-h', 'HOSTOSsLINCOLN ACADEMY OF SCIENCE', '8-r', '8-m', '8-w'
'X505', 'C', '3-b', '6-h', 'BRONX SCHOOL FOR LAW  GOVERNMENT AND JUSTICE', '8-r', '8-m', '8-w'
'X551', 'C', '3-b', '6-h', 'BRONX ACADEMY OF LETTERS', '8-r', '7-m', '8-w'
'K071', 'C', '1-b', '8-h', 'JUAN MOREL CAMPOS SECONDARY SCHOOL', '7-r', '7-m', '7-w'
'K265', 'B', '7-b', '2-h', 'DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS', '7-r', '6-m', '7-w'
'K337', 'B', '4-a', '1-b', '2-h', '2-wh', 'INTERNATIONAL HIGH SCHOOL AT LAFAYETTE', '6-r', '7-m', '6-w'
'K344', 'B', '1-a', '2-b', '2-h', '3-wh', 'RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES', '8-r', '8-m', '8-w'
'K348', 'B', '6-b', '2-h', 'HIGH SCHOOL OF SPORTS MANAGEMENT', '7-r', '7-m', '7-w'
'K350', 'D', '7-b', '2-h', 'URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART', '7-r', '7-m', '7-w'
'K393', 'C', '8-b', '1-h', 'FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL', '7-r', '7-m', '7-w'
'K403', 'A', '2-b', '7-h', 'ACADEMY FOR ENVIRONMENTAL LEADERSHIP', '7-r', '7-m', '7-w'
'K404', 'A', '6-b', '3-h', 'ACADEMY FOR YOUNG WRITERS', '7-r', '7-m', '7-w'
'K405', 'C', '3-a', '3-b', '1-h', '2-wh', 'MIDWOOD HIGH SCHOOL', '9-r', '1', '9-w'
'K408', 'B', '8-b', '1-h', 'ACADEMY OF HOSPITALITY AND TOURISM', '7-r', '6-m', '7-w'
'K409', 'C', '6-b', '3-h', 'EAST NEW YORK FAMILY ACADEMY', '8-r', '8-m', '7-w'
'K410', 'C', '1-a', '3-b', '2-h', '2-wh', 'ABRAHAM LINCOLN HIGH SCHOOL', '7-r', '8-m', '7-w'
'K412', 'C', '7-b', '1-h', 'BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION  ARTS AND MEDIA', '7-r', '7-m', '7-w'
'K419', 'A', '7-b', '1-h', 'SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE  TECHNOLOGY AND THE CREATIVE ARTS', '7-r', '8-m', '7-w'
