M485,LAGUARDIA HIGH SCH MUSIC ART ,11-r,11-m,11-w,2010
M494,Martin Luther King Jr HS Arts and Technology ,8-r,8-m,7-w,2010
M505,Edward A. Reynolds West Side High School ,8-r,8-m,7-w,2010
M541,MANHATTAN/HUNTER COLL HS SCI ,9-r,10-m,9-w,2010
M860,FREDERICK DOUGLAS ACADEMY II ,8-r,8-m,8-w,2010
M409,COALITION SCH SOCIAL CHANGE ,7-r,7-m,7-w,2010
M435,Manhattan Center for Science and Math ,9-r,10-m,9-w,2010
M495,PARK EAST HIGH SCHOOL ,7-r,7-m,7-w,2010
M555,CENTRAL PARK SECONDARY SCHOOL ,7-r,7-m,7-w,2010
M610,YOUNG WOMEN LEADERSHIP SCHOOL ,9-r,8-m,9-w,2010
M610,Young Women's Leadership School of Astoria ,0-r,0-m,0-w,2010
M635,Academy of Environment Science Secondary School ,7-r,7-m,7-w,2010
M680,HERITAGE SCHOOL ,7-r,7-m,7-w,2010
M695,URBAN PEACE ACADEMY ,7-r,7-m,7-w,2010
M285,HARLEM RENAISSANCE HIGH SCHOOL ,8-r,7-m,7-w,2010
M304,MOTT HALL HIGH SCHOOL ,8-r,8-m,8-w,2010
M367,Academy for Social Action ,0-r,0-m,0-w,2010
M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,6-r,7-m,7-w,2010
M469,CHOIR ACADEMY OF HARLEM ,8-r,7-m,8-w,2010
M499,FREDERICK DOUGLASS ACADEMY ,9-r,9-m,9-w,2010
M670,THURGOOD MARSHALL ACADEMY ,8-r,8-m,8-w,2010
M685,Bread & Rose Intergrated Arts High School ,7-r,7-m,7-w,2010
M692,High School For Math Science Engineering City Coll ,11-r,12-m,11-w,2010
M293,MS 293 City College Academy of the Arts ,0-r,0-m,0-w,2010
M346,Community Health Academy Heights ,0-r,0-m,0-w,2010
M348,MS 348 Washington Heights Expeditionary Learning S ,0-r,0-m,0-w,2010
M457,YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,0-r,0-m,0-w,2010
M462,HIGH SCHOOL FOR INTL BUS/FIN ,7-r,7-m,7-w,2010
M463,HS for Media and Communications-George Washingto ,7-r,7-m,7-w,2010
M467,High School for Law and Public Service ,7-r,7-m,7-w,2010
M468,HIGH SCHOOL FOR HLTH CARER/SER ,7-r,8-m,7-w,2010
M540,A Philip Randolph Campus High School ,8-r,9-m,8-w,2010
M552,GREGORIO LUPERON PREP SCHOOL ,6-r,7-m,6-w,2010
X221,SOUTH BRONX PREPARATORY ,7-r,7-m,7-w,2010
X321,CROTANA ACADEMY HIGH SCHOOL ,0-r,0-m,0-w,2010
X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,6-r,6-m,6-w,2010
X379,Jill Chaifetz Transfer High School ,0-r,0-m,0-w,2010
X381,BRONX HAVEN HIGH SCHOOL ,6-r,6-m,7-w,2010
X427,Community High School Social Justice ,7-r,7-m,7-w,2010
X473,Mott Haven Village Preparatory High School ,6-r,7-m,6-w,2010
X495,UNIVERSITY HEIGHTS HIGH SCHOOL ,8-r,7-m,7-w,2010
X500,HOSTOS-LINCOLN ACADEMY SCIENCE ,9-r,9-m,9-w,2010
X520,FOREIGN LANGUAGE ACADEMY ,8-r,8-m,8-w,2010
X527,Bronx Leadership Academy II High School ,7-r,7-m,7-w,2010
X547,NEW EXPLORERS HIGH SCHOOL ,7-r,7-m,7-w,2010
X548,Urban Assembly School for Careers in Sports ,7-r,8-m,7-w,2010
X551,Bronx Academy of Letters ,8-r,8-m,8-w,2010
X600,ALFRED E SMITH HIGH SCHOOL ,7-r,7-m,7-w,2010
X655,Samuel Gompers Vocational Technical High School ,7-r,7-m,7-w,2010
X670,Health Opportunities High School ,8-r,7-m,7-w,2010
X282,YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,7-r,8-m,7-w,2010
X293,Renaissance High School Music Theater T ,7-r,7-m,7-w,2010
X295,Gateway School for Environmental Research & Tech ,7-r,7-m,7-w,2010
X305,Pablo Neruda Academy Architecture & World Studies ,7-r,7-m,6-w,2010
X312,MILLENNIUM ART ACADEMY ,7-r,7-m,7-w,2010
X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY ,7-r,7-m,7-w,2010
X377,BRONX COMMUNITY HIGH SCHOOL (X377) ,8-r,7-m,8-w,2010
X405,HERBERT H LEHMAN HIGH SCHOOL ,8-r,8-m,7-w,2010
X408,YABC AT HERBERT H. LEHMAN HIGH SCHOOL ,7-r,6-m,7-w,2010
X450,ADLAI E STEVENSON HIGH SCHOOL ,0-r,0-m,0-w,2010
X452,The Bronx Guild High School ,7-r,7-m,7-w,2010
X507,YABC AT ADLAI STEVENSON HIGH SCHOOL ,0-r,0-m,0-w,2010
X519,Felisa Rincon de Gautier Inst for Law & Pub Policy ,7-r,7-m,7-w,2010
X530,BANANA KELLY HIGH SCHOOL ,7-r,7-m,7-w,2010
X540,HIGH SCHOOL CMTY RESEARCH LRN ,7-r,7-m,7-w,2010
X560,BRONX ACADEMY HIGH SCHOOL ,7-r,7-m,7-w,2010
X650,Jane Addams Vocational High School ,7-r,7-m,7-w,2010
X227,Bronx Expeditionary Learning High School ,7-r,7-m,6-w,2010
X231,Eagle Academy for Young Men ,7-r,7-m,7-w,2010
X239,Urban Assembly Academy History & Citizenship ,7-r,7-m,7-w,2010
X241,Urban Assembly School for Applied Math Science ,0-r,0-m,0-w,2010
X250,EXIMIUS COLLEGE PREP ACADEMY ,8-r,7-m,7-w,2010
X252,MOTT HALL BRONX HIGH SCHOOL ,7-r,7-m,7-w,2010
X260,Bronx Center for Science and Mathematics ,8-r,9-m,9-w,2010
X263,VALIDUS PREPARATORY ACADEMY ,7-r,6-m,7-w,2010
X276,LEADERSHIP INSTITUTE ,7-r,7-m,7-w,2010
X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIE ,7-r,7-m,7-w,2010
X329,DREAMYARD PREPARATORY SCHOOL ,7-r,8-m,7-w,2010
X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY ,0-r,0-m,0-w,2010
X403,Bronx International High School ,6-r,6-m,6-w,2010
X404,HIGH SCHOOL FOR EXCELLENCE ,7-r,7-m,7-w,2010
X412,BRONX HIGH SCHOOL OF BUSINESS ,7-r,7-m,7-w,2010
X413,HIGH SCHOOL MEDICAL SCIENCES ,8-r,9-m,8-w,2010
X414,Jonathan Levin HS for Media and Communications ,6-r,7-m,7-w,2010
X505,BRONX SCH LAW GOVMT & JUSTICE ,8-r,7-m,8-w,2010
X517,Frederick Douglass Academy III Secondary School ,7-r,8-m,8-w,2010
X525,Bronx Leadership Academy High School ,8-r,7-m,7-w,2010
X543,HIGH SCHOOL VIOLIN AND DANCE ,6-r,7-m,6-w,2010
X141,RIVERDALE KINGSBRIDGE ACADEMY ,9-r,9-m,9-w,2010
X213,BRONX ENGINEERING & TECH ACADEMY ,7-r,8-m,7-w,2010
X225,Theatre Arts Production Company School ,7-r,7-m,7-w,2010
X237,Marie Curie HS for Nur  Med and Allied Health Prof ,7-r,7-m,7-w,2010
X243,WEST BRONX ACADEMY FOR FUTURE ,7-r,7-m,7-w,2010
X268,Kingsbridge International High School ,6-r,6-m,5-w,2010
X284,BRONX SCHOOL OF LAW & FINANCE ,8-r,7-m,7-w,2010
X319,Providing Urban Learners Success in Education HS ,6-r,6-m,7-w,2010
X342,International School of Liberal Arts ,6-r,6-m,5-w,2010
X368,Information Technology Academy ,8-r,8-m,7-w,2010
X374,Knowledge & Power Prep Acad International HS ,0-r,0-m,0-w,2010
X430,WALTON HIGH SCHOOL ,0-r,0-m,0-w,2010
